,Unnamed: 0,Nid,ISBN,description,Title,Author,Lib Note,What is the story about?/What happened in the story?,Who is your favorite character in the story? Why?,Why did you decide to read this book? Did a friend suggest it? Did it have an interesting cover?,Why did you like this story? or Why did you not like this story?,Other thoughts or feelings about this story? Anything else to add?,Rate Your Read,Reviews Titles,Your Age,UserID,emotion_emoData
10,10,95095,9780606391153,"For use in schools and libraries only. New from the creator of Captain
Underpants, it's Dog Man, the crime-biting canine who is part dog, part
man, and ALL HERO! George and Harold have created a new hero who digs into
deception, claws after crooks, and rolls over robbers. When Greg the police
dog and his cop companion are injured on the job, a life-saving surgery
changes the course of history, and Dog Man is born. With the head of a dog
and the body of a human, this heroic hound has a real nose for justice. But
can he resist the call of the wild to answer the call of duty?",Dog Man ,Dav Pilkey,,The story is about the worlds greatest cop Dog man and how he defeats the worlds greatest villain Petey the cat escapes jail with the help of the evil Mayor.,My favorite character is petey because he always has  trick up his sleeve.,I had read some of his other books and they were AWESOME!!,I liked it because it was suspenseful and silly.,,5/5,,8.0,10.0,
11,11,95090,9781338101553,"The Eighth Story. Nineteen Years Later. Based on an original new story by
J.K. Rowling, Jack Thorne, and John Tiffany, a new play by Jack Thorne,
Harry Potter and the Cursed Child is the eighth story in the Harry Potter
series and the first official Harry Potter story to be presented on stage.
The play will receive its world premiere in London's West End on July 30,
2016. It was always difficult being Harry Potter and it isn't much easier
now that he is an overworked employee of the Ministry of Magic, a husband
and father of three school-age children. While Harry grapples with a past
that refuses to stay where it belongs, his youngest son Albus must struggle
with the weight of a family legacy he never wanted. As past and present
fuse ominously, both father and son learn the uncomfortable truth:
sometimes, darkness comes from unexpected places.",Harry Potter and the Cursed Child,J.K. Rowling,,It’s about Albus Potter time traveling,My favorite character is Hermione because she is a great female leader,Well it was is the latest book in the series so I decided to read it ,"I liked this story because it was like all the Harry Potter books, amazing",No,5/5,,10.0,11.0,
12,12,95085,9780545582889,"Harry Potter has never played a sport while flying on a broomstick. He's never worn a Cloak of Invisibility, befriended a giant, or helped hatch a dragon. All Harry knows is a miserable life with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. Harry's room is a tiny cupboard under the stairs, and he hasn't had a birthday party in ten years. But all that is about to change when a mysterious letter arrives by owl messenger: a letter with an invitation to a wonderful place he never dreamed existed. There he finds not only friends, aerial sports, and magic around every corner, but a great destiny that's been waiting for him... if Harry can survive the encounter.",Harry Potter and the Sorcerer's Stone,J. K. Rowling ,,It’s all about magic ,I don’t have a favorite ,Everyone said it was good and it’s well known ,I didn’t like it because I don’t like that kind of genre,Nope ,1/5,,13.0,12.0,
13,13,95081,9780385384841,"In 1915 Wisconsin, a farm horse named Jingle Bells worries that his family
will replace him when the older son brings home a brand new Model-T Ford
car. Includes facts about Clydesdale horses.",Jingle Bells,Cathy Hapka,,"On Christmas Eve, there was a family with a baby, and they were trying to get to the grandparent’s house.  They were supposed to go on a horse drawn sled, but they decided to go in a new Model T Ford.  However, the car got stuck twice, so they took the sled and had a nice Christmas.",My favorite character is Jingle because he is loyal and nice.,"It was in a seiries about horses.  After I read it I found out about book review writing.  The book was interesting, so I thought it would be perfect for a review.","I liked it because it’s about a farm and a horse and the book was from the horses prespictive.  It was also sort of welcoming.
",It was sort of sad to hear that someone thought cars were better than horses.,5/5,,7.0,13.0,
14,14,95061,9780545029377,"The thrilling final book in J. K. Rowling's seven-part saga receives a production treatment as sumptuous as its story, with a special slipcase and art exclusive to this Deluxe edition. Beyond the excitement of the Book 7 text itself, the Deluxe Edition includes an exclusive insert featuring near-scale reproductions of Mary GrandPré's interior art, as well as never-before-seen full-color frontispiece art on special paper. The custom-designed slipcase is foil-stamped and contains a full-cloth case book that has been blind-stamped on front and back cover with foil stamping on the spine. The book includes full-color endpapers featuring the jacket art from the trade edition, and a wraparound jacket featuring art created especially for this edition by Mary GrandPré.",Harry Potter and the Deathly Hallows,J.K. Rowling,,"Harry Potter, Ronald Weasley, and Hermione Granger go hunting for Horcruxes (pieces of Lord Voldemort's soul) instead of going back to Hogwarts School of Witchcraft and Wizardry, much to Hermione's displeasure. Meanwhile, at Hogwarts most of the students take a stand against Voldemort and his followers, the Death Eaters, that are running the school. Harry learns much about his past and what he must do to overcome Voldemort.","My favorite character is Ginny Weasley because she is brave and daring, but also kind and smart. I like the fact that she is not afraid to stand up for anyone.","I had read all the other Harry Potter books, and all my friends said it was their favorite book in the series.","I liked the bravery of all the characters and the fact that they were fighting for what was right. I was really sad that Dobby the House-Elf, Nymphadora Tonks, Remus Lupin, Mad-Eye Moody, Hedwig, and Fred Weasley died.","Harry Potter and the Deathly Hallows was written so well, I felt bad for Voldemort at the end.",5/5,,11.0,14.0,
15,15,95050,9780689865664,"When her new neighbors' genuine Fabergâe egg disappears, Nancy Drew
investigates, while at the same time looking into the accusation that
another neighbor, Harold Safer, is the vandal who is destroying all the
zucchini in local gardens.",Without a Trace,Carolyn Keene,,The story is about  Nancy finding the person who stole the Faberge egg.,Nancy Drew is my favorite character because she solves the mystery.,I chose this book for my school project the book turned out great it was a great read.,I liked this story because it is about mysteries.,I recommend this story for 10 and up in my opinon,5/5,,10.0,15.0,
16,16,95048,9781619889934,"Celebrate 70 years of Archie Comics fun with this massive full-color collection of over 50 favorite comic book stories hand-selected by noted Archie writers, artists, editors and historians. Also included are loads of entertaining behind-the-scenes anecdotes about the comics, their creators, and Archie's unique impact on America's pop culture! Designed for young and old alike, this is both a must-have companion for anyone who has grown up with Archie and a perfect introduction for new readers.",Archie,Vic Bloom,"The library owns many Archie comics as ebooks, find them through the online library resource, Hoopla.",This book is about a boy how is in High school. He like to girls and both of the girls like him.,My favorite Character is Reggie because he likes to eat a lot.  ,"My dad told me that he read Archie Comics growing up. Yes, it has interesting cover.",Like this story because it is funny.,No there is not.,5/5,,10.0,16.0,
17,17,95046,9781449464899,"Follows the adventures of self-described middle school genius Nate Wright,
including having an imaginary near-death experience, creating an episode of
""Doctor Cesspool,"" and meeting the girl of his dreams at summer school.",Big Nate's Greatest Hits,Lincoln Peirce,,"It is about a kid named Nate and his friends who are in Middle school and Nate gets bad grades on all almost all of his tests, and he gets detention a lot. His other friends get good grades and don't get detention a lot. I think it is a book of Nate's greatest and funniest moments. ","I like all of the characters in Big Nate, they all go together very well.","I decided to read this book because it got recommended to me by a friend and I looked through it a little bit and I liked it, also I like graphic novels. It had a cover that was interesting to me. ","I liked this story because it was a graphic novel and I like graphic novels, and when you thought Nate was gonna do something write it turned out wrong. I've read almost all of the books in the series.","All I have to say is that you should definitely read this, it is a great book for kids7-10.",5/5,,10.0,17.0,
18,18,95044,810993139,"It's a new school year and Greg Heffley finds himself thrust into the harsh landscape of secondary school, where undersized weaklings have to share the hallways with kids who are six-feet-tall, dating and already shaving. While Greg's days are focused on school survival, he's happy to have Rowley, his reliable punching-bag sidekick, along for the ride. But when his best friend's star starts to rise at school, Greg tries to use Rowley's newfound popularity to his advantage. ""Diary of a Wimpy Kid"" is about everyday secondary school experiences and author/illustrator Jeff Kinney makes us recall our own childhood as we look back on just how perilous school can be. The warts-and-all experiences of his alter ego, Greg Heffley, are recorded in a diary that Greg's mother bought him to make him more ""thoughtful."" But as Greg says, ""Just don't expect me to be all 'Dear Diary' this and 'Dear Diary' that. If she thinks I'm going to write down my 'feelings' or whatever in here, she's crazy."" However, as in all the best coming-of-age stories, what Greg Heffley says he won't do and what he actually does are two very different things.","Diary of a Wimpy Kid. 1, Greg Heffley's Journal",Jeff Kinney,,In the story there's a boy who always makes mistakes all the time the boy has a mean brother and he has a friend whos name Rolle  and the boy likes a girl at school and the boys name is Greg he has a crazy family he is really weird.,My favorite character in the story is Greg because he is funny and he is the mane character and he is really good at throwing a football.,I decide to read it because It talks about a family and there family are really crazy and there movies about it and there really funny I like this book you should get it at Monroe county library this is your book if you like fiction. ,I like the because the family is funny and Greg is so weird I give the book 10 out of 10 stars.,not really but I think everyone should read this book.,5/5,"Diary of a Wimpy Kid. 1, Greg Heffley's Journal",10.0,18.0,
19,19,95043,9780545919746,"Hundreds of American soldiers were already dead. Battlefields in
Massachusetts and New York were soaked in the blood of American patriots.
And 11-year-old Nathaniel Knox was in the midst of it all, trapped in a
swamp and fighting for his life. The air was thick with smoke and
gunpowder. Bleeding soldiers screamed in agony. Through the trees, Nate saw
the line of British redcoat soldiers - at least 100 men. Their blood-
colored uniforms seemed to glow in the smoky haze. Gunfire blasted all
around him. Nate knelt behind a rock, gripping his gun with shaking hands.
The American Revolution had started as a glorious struggle for freedom.
America was determined to tear itself away from England, out of the grips
of King George III. The thirteen American colonies would become a brand new
country: The United States of America! But King George was like a snake
with America gripped in his fangs - and he didn't want to let go. So now it
was war - brutal, bloody war.","I survived the American Revolution, 1776",Lauren Tarshis,,"The story is about this boy named Nate and he is the nephew of a slave. so Nate is around 10 him self. he was running with another character and the uncle got hit with a tree branch. so Nate ran, ran for dear life. soon after he rested a soldier got him and went to war.",Eliza she is brave and kind she is a fighting slave who is also a mother. AND she can also handle a big manly gun.,Well I love history and history based books. It did have an interesting cover. It had guns and ships. ,I LOVED this story and not just because it is historical fiction because it was really interesting to I LOVED this book  ,No just that I really recommend it ,5/5,,10.0,19.0,
20,20,95041,9781250043238,"In her first novel since winning the Newbery Medal, Katherine Applegate
delivers an unforgettable and magical story about family, friendship, and
resilience. Jackson and his family have fallen on hard times. There's no
more money for rent. And not much for food, either. His parents, his little
sister, and their dog may have to live in their minivan. Again. Crenshaw is
a cat. He's large, he's outspoken, and he's imaginary. He has come back
into Jackson's life to help him. But is an imaginary friend enough to save
this family from losing everything? Beloved author Katherine Applegate
proves in unexpected ways that friends matter, whether real or imaginary.",Crenshaw,Katherine Applegate,,"A boy in 5th grade was having a rough life, because his family was very poor and he had to sell his house for money. One day a imaginary cat showed up and from then he started to help the boy though the difficult time.","my favorite character was Robin. She was nice, curious  and always wanted to help out Jackson her older brother. ",It had an really interesting book cover. It looked adventurist and  funny. ,"I liked the book, because it was sad and it had so much loving in it.",,5/5,,10.0,20.0,
21,21,95040,9780061987502,"Something strange is happening at the Clarksville City Zoo. Late at night, monkeys are scaling the walls and searching the neighborhood—but what are they looking for? This middle grade novel is an excellent choice for tween readers in grades 5 to 6, especially during homeschooling. It’s a fun way to keep your child entertained and engaged while not in the classroom. Noah, his sister Megan, and their best friends, Richie and Ella, live next door to the zoo. Megan is the first to notice the puzzling behavior of some of the animals. One day Megan disappears, and her brother and their friends realize it's up to them to find her. Their only choice is to follow a series of clues and sneak into the zoo. But once inside, will they discover there's much more to the Clarksville City Zoo than they could ever have guessed?",The Secret Zoo,Bryan Chick,,"Well I don't want to spoil the book series, but it is about four kids called the action scouts. The scouts team up with some animals from the zoo to fight sasquatch's and a shadowist named Degraff. ",Meghan because she is the bravest .,I found it on my school library shelf and looked at the back cover and tried it out!! Now I'm on book 5!!,I like this book series because it is filled with action.,"No, Not really",5/5,,10.0,21.0,
22,22,95037,9780545483216,"Time has gone wrong, and best friends Dak Smyth and Sera Froste, together
with the young Hystorian Riq, must use the infinity ring to travel back to
one of the Great Breaks--a mutiny on the Santa Marâia--to correct history
and defeat the SQ.","Infinity Ring. 1, A Mutiny in Time",James Dashner,,The story is all about a Infinity ring which Dak's dad made so they can go back to fix a mistake.,"My favorite character in Infinity Ring is Sera Froste, because she opened up the Infinity Ring.","Well Infinity Ring had a really interesting cover so I tried it out. My teacher said we had to pick any 4th grade level book and read it to make a 'Readbox' so I chose Infinity Ring. I chose it, because it was science fiction/ adventure and I really like adventures and science so I chose it.","I liked this story, because it was really interesting.","I feel like everybody should try to read Infinity Ring in there lifetime, because its interesting, and theres a hole series!",5/5,,10.0,22.0,
23,23,95036,9780545483216,"Time has gone wrong, and best friends Dak Smyth and Sera Froste, together
with the young Hystorian Riq, must use the infinity ring to travel back to
one of the Great Breaks--a mutiny on the Santa Marâia--to correct history
and defeat the SQ.","Infinity Ring. 1, A Mutiny in Time",James Dashner,,3 people go back in time to save history.,Sera is a scientist.,It is mystery.,Cause you do not know what's going to happen. ,I love this book.,5/5,,10.0,23.0,
24,24,95034,9780439903448,"When his precious baseball card is stolen by a mean dealer named Swindle,
Griffin Bing gathers up a group of courageous misfits and devises a plan to
break into the compound to get it back.",Swindle,Gorden Kormen,,"Griffin Bing is a boy who likes doing crazy stuff. He ends up finding a $1,000,000 baseball card. He tries to sell it, but gets ripped off. He gets mad.Then he assembles a team of kids with special skills and makes a plan to steal it back.",My favorite character is Ben because he is Griffins best friend. He is really down to earth and is funny when he tries to stop him from doing something stupid. ,I had read another book in the series and LOVED it. So I thought that since the other book was good then this one would be to. ,"Yes, I loved it. It is funny and has a lot of stuff that kids can relate with.",,5/5,,10.0,24.0,
25,25,95033,9780606391153,"For use in schools and libraries only. New from the creator of Captain
Underpants, it's Dog Man, the crime-biting canine who is part dog, part
man, and ALL HERO! George and Harold have created a new hero who digs into
deception, claws after crooks, and rolls over robbers. When Greg the police
dog and his cop companion are injured on the job, a life-saving surgery
changes the course of history, and Dog Man is born. With the head of a dog
and the body of a human, this heroic hound has a real nose for justice. But
can he resist the call of the wild to answer the call of duty?",Dog Man,Dav Pilkey,,The story is about a dog and a man and there is a cat and the cat put a bomb and the dog and the man had to go to the hospital and they didn't know what to do with the body and the head so there was a dumb nurse who said hey lets put the head on the body so the dogs head went on the humans body so that's how he became Dog Man. , My favorite character is Dog Man because he's nice sweet and loving and he always wants to help  ,The reason why I recommend is because its funny. And you will find out in ever book  how he became Dog Man.  ,The reason why I love this book is because it shows a lot of love and in the first book I cried ,,5/5,,10.0,25.0,
26,26,95032,9781428741126,"Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe. Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",A Wrinkle in Time ,Madeleine L'engle,,"It is about a family named the Murrys whos father tesseracts and gets stuck in another world and his daughter Meg goes to  save him with some help of her brother and friends. Meg saves her dad by killing the IT with something very special, love.",,"We have a read 'a' thon and I needed to read books. My mom picked it up and offered to by it. I'm not a huge reader so covers don't necessarily win me over but I would say it has an interesting cover.
",,,0/5,,12.0,26.0,
27,27,95031,9781442407688,"In a society that purges thirteen-year-olds who are creative, identical
twins Aaron and Alex are separated, one to attend University while the
other, supposedly Eliminated, finds himself in a wondrous place where
youths hone their abilities and learn magic.",The Unwanteds,Lisa McMann,,"This story is about a boy named Alex Stowe, and in his city they have a ceremony called the purge. On this very day you are either Chosen, Necessary or Unwanted. The Unwanteds are then persecuted. None of the people of Quill supplest that the Unwanteds aren't actually persecuted. This book is about  Alex who was Unwanted and told the mysterious story and experiences of the city called Artime.",,"I chose to read this book, because I was looking for a book like Harry Potter. We were at Barns and Noble and a worker suggested this series. The first books cover is interesting and grabs your attention, and intrigues little kids.",,,0/5,,12.0,27.0,
28,28,95030,9780545667067,"Moving in with a police detective's mother for protection after her
grandmother suffers a stroke and she witnesses an armed robbery, young
Poppy tries to manage her worries while navigating a strained new
friendship and hatching a plan to save the life of a beautiful dog. By the
author of A Smidgen of Sky. Simultaneous eBook.",A Million Ways Home,Dianna Dorisi-Winget,,The story is about a girl named Poppy and her parents are deceased and the only person left to look after her is her grandma. Her grandma volunteers at an animal shelter. But her grandma gets sick and has to go to nursing home so Poppy goes to a orphanage. But the people in charge wouldn't take Poppy to see her grandma so she sets out to find her and gets hungry and stops at a gas station to get food. She ends up in a sticky situation. There was a murder at the gas station and she was the only person who saw the murderer. And the story keeps going from there but you will have to read to find out.  ,Poppy because I feel bad for her.,I read the back and it looked interesting.,Because it was interesting.,no,0/5,,12.0,28.0,
29,29,95028,9780545643313,"Teaming up with 11-year-old Birdie to solve mysteries on the Louisiana
coast, dog detective Bowser investigates the theft of a prize stuffed
marlin in which Birdie's Grammy may have hidden a treasure map. By the
best-selling author of the Chet and Bernie mysteries. Simultaneous eBook.",Woof : a Bowser and Birdie Novel,Spencer Quinn,,"The author blends adventure, suspense, mystery, and humor together well in this book. It is about ten-year-old Birdie Gaux and her new dog Bowser. Something smells fishy (and it ISN'T because of the Louisiana swamp) and Bowser knows something is wrong. It is not just that Birdie's grandma's prized stuffed marlin was stolen. Bowser and Birdie both know many people are acting suspicious but who is the real thief? Neither Birdie nor Bowser know the danger that's coming for them. ","My favorite character is Bowser because he is the narrator and it makes even the scariest or suspenseful parts, funny!",I read the summary on the back cover and it looked interesting. I thought I'd like it and I thought correctly.,"I loved this story because its full of suspense, mystery, humor, and adventure.",There are 2 more books in this series and I recommend them as well.,5/5,,12.0,29.0,
30,30,95027,9781442032699,"When Kendra and Seth go to stay at their grandparents' estate, they
discover that it is a sanctuary for magical creatures and that a battle
between good and evil is looming.",Fablehaven,Brandon Mull,,"The Fable Haven series is about two kids who go to their grandpa's house and discover that he is actually the keeper of a secret magical preserve full of fairies, centaurs, unicorns, goblins, two demons, a cursed chicken, and a witch. They have to fight a group of people called ""the evening star"" who are trying to release a horde of demons from their mountain prison called Zzyxx.","My favorite character is Warren because of his sense of humor, fighting skill, and dare-devil personality",I saw the first book at Barns and Noble and it looked like something I would enjoy. I read the summery and decided to get it.,I liked it because it was a well written fantasy and it was not predictable.,,5/5,,12.0,30.0,
31,31,95026,9780395645666,"Given his lifetime assignment at the Ceremony of Twelve, Jonas becomes the
receiver of memories shared by only one other in his community and
discovers the terrible truth about the society in which he lives.",The Giver,Lois Lowry,,"Jonas lives in a ""perfect"", colorless, world, where everyone is happy. They know no nothing of their ancestors, their history, or what lies outside the walls of their world. When given his assignment, he becomes aware of the ways of his world, and the ways of the world around him. ","Jonas' best friend, Asher, because he doesn't fit the typical mold of the residents of their town. He is not perfect, and gets himself into trouble.","We watched the trailer to the movie in library, and it looked interesting. ",It is a creative twist to a dystopia sort of story. Very interesting and captivating.,"A MUST READ! I am never a fan of science fiction, but I loved this series.",5/5,,12.0,31.0,
32,32,95025,9781433690198,"Based on Ephesians 6:10–18, The Prince Warriors is the first book in an
epic middle reader series that brings to life the invisible struggle
occurring in the spiritual realm.",The Prince Warriors,Priscilla Shirer,,There are a group of people that find another complicated world with things unimaginable. They war against there enemies.    ,I liked Xavier because he was a strong warrior.,I chose it because my grandma recommended it and the cover looked cool and I liked it a lot. ,I liked this story because it was full of adventure and action.,No.,4/5,,12.0,32.0,
33,33,95024,9780312367541,"Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe. Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",A Wrinkle in Time,Madeline L'Engle,,"Its about a girl named meg and her father is imprisoned in another world, so she has to go find her dad from like fairy type of people.So when she gets to the other world a lot of bad stuff happens and they have to try to fight it to get to her dad. She went to the other world with her brother Charles Wallace and her friend Calvin.   ",Charles Wallace because he is the youngest and still managed to fight whatever was evil with the love of her sister Meg ,my nana recommended the book to me a couple years ago and I started to read it then I got more interested and it has been my favorite book since. ,,,0/5,,12.0,33.0,
34,34,95023,9780525423843,"In the small city of Strattenburg there are many lawyers, and thirteen-
year-old Theo Boone thinks he is one of them, but his inside knowledge of
the justice system means trouble when a cold-blooded killer is about to go
free and only Theo can stop him.","Theodore Boone, Kid Lawyer",John Grisham,,In the first book of the series there is murder mystery and Theo knows someone who is vital for the case but he can not tell anyone. he doesn't know what to do.,Theodore Boone is my favorite character because he is smart and is concerned about others.,A friend from my school suggested it. It is a mystery and I thought I hated mysteries but I checked it out anyway and I loved it. I am now on the second book and am looking in to other mystery books.,I liked this story because it is unpredictable and always keeps me on the edge of my seat.,I think you should read this because I thought I hated mysteries until I read this book. There are six books in the series to keep you on the edge of your seat.,5/5,,12.0,34.0,
